id,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,ccmAHU4pumpVFD,ccmAHU5pumpVFD,ccmControlsOptMV,ccmFCU,ccmHPTest,ccmHeat,ccmHeatRecoveryMV,changeover,chilled,cmd,comp,condenser,connRef,cool,cooling,covTest,cur,curStatus,curVal,custom,damper,delta,differential,disMacro,disabled,discharge,dupOld2,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatPump,heatRecovery,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,lead,leaving,max,min,mode,modulating,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,rate,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stageDemanded,stageRequired,static,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:22d5eee2-7a348e2a CCM Heat Pump Plant HP-1 P18 CCM_HTGCLG_1_HW_P18_C,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL39,✓,CCM_HTGCLG_1_HW_P18_C,"","","","","","","","","","","",✓,"","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","",✓,"","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","OFF,ON",P18,@p:ubcv:r:23dccabf-77d01026 CCM Heat Pump Plant HP-1,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T11:58:56-07:00 Los_Angeles,"",cov,5240,2018-06-20T21:56:18-07:00 Los_Angeles,ok,"",✓,"","",Bool,2020-05-12T14:16:16.178-07:00 Los_Angeles,2019-01-31T10:24:21.486-08:00 Los_Angeles,"","","","","","","",Run Cmd,"",BO14,"","","","","","",✓,"","","",✓,"","","","",✓,"","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"","","","","",CCM_HTGCLG_1_HW_P18_C_COV_TL,Los_Angeles,"","","","","",✓,"",2020-05-12T11:03:27.271Z UTC
@p:ubcv:r:235920a5-7bd1b3f4 CCM Rm 1220 SAV-5-08 SAV_5_08_RT,"",✓,"","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL72,✓,SAV_5_08_RT,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbb94e-ddca0c26 CCM Rm 1220 SAV-5-08,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:08:30-07:00 Los_Angeles,"","",54921,2018-10-15T15:32:10-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:22.019-07:00 Los_Angeles,2019-01-31T10:24:21.997-08:00 Los_Angeles,"","","","","","","",Zone Temp,"",AV253,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23dbb94e-beeb4271 CCM Rm 1220,"","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"","",✓,"","",SAV_5_08_RT_POLL_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:23.213Z UTC
@p:ubcv:r:23592139-f9c902ea CCM AHU-03 CCM_AHU_03_SAD,"",✓,"","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"",TL114,✓,CCM_AHU_03_SAD,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"","","","","","","",✓,"","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:23dbc780-33d29dcd CCM AHU-03,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2019-12-10T07:17:36-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [181] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",60929,2018-10-13T04:17:01-07:00 Los_Angeles,fault,"","","","",Number,2020-05-11T00:31:14.135-07:00 Los_Angeles,2019-01-31T10:24:21.212-08:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"",AO14,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-d78921f0 .+_SAD(_\d+)?(_TL)?,"","","","","","",Los_Angeles,%,"","","","","","",2020-04-14T16:50:00.059Z UTC
@p:ubcv:r:235920b7-30487c0b CCM Rm 1014 FC-04 CCM_FCU_04_FAN_STATUS,"",✓,"","",@p:ubcv:r:2304b9f4-bf1cd0fd CCM CCM_FCU_04 (580216),"",TL3,✓,CCM_FCU_04_FAN_STATUS,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304b9f4-bf1cd0fd CCM CCM_FCU_04 (580216),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcd602-f8125d12 CCM Rm 1014 FC-04,✓,"",✓,"","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-11T17:31:07-07:00 Los_Angeles,"","",861,2019-03-08T13:38:36-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:25:08.259-07:00 Los_Angeles,2018-11-28T16:32:39.893-08:00 Los_Angeles,"","","","","","","","Fan Run ","","","","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd602-61d754e1 CCM Rm 1014,✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-84b215bf .+_FAN_STATUS(_TL)?,"","","","","",CCM_FCU_04_FANSTAT_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.706Z UTC
@p:ubcv:r:22d5eee1-28fa2b2b CCM Heat Pump Plant W_CIRC_WWHP_HEATING_FLW_SP_POLL_TL,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL124,✓,W_CIRC_WWHP_HEATING_FLW_SP_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dccabe-25e6a02f CCM Heat Pump Plant,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:07:12-07:00 Los_Angeles,"","",95638,2018-07-08T17:11:53-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:21.975-07:00 Los_Angeles,2019-01-31T10:24:20.804-08:00 Los_Angeles,"","","","","","","",W_CIRC_WWHP_HEATING_FLW_SP_POLL_TL,✓,AV68,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.2Z UTC
@p:ubcv:r:2359218b-05ba2cce CCM Unsorted Points MN_E_AHU4_LEADFAN_DEMAND,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL44,✓,MN_E_AHU4_LEADFAN_DEMAND,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2019-10-01T08:35:35-07:00 Los_Angeles,"",cov,2,2019-01-08T07:22:06-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:13.981-07:00 Los_Angeles,2018-11-28T16:32:56.545-08:00 Los_Angeles,"","","","","","","",MN_E_AHU4_LEADFAN_DEMAND,✓,BV82,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",MN_E_AHU4_LEADFAN_DEMAND_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.072Z UTC
@p:ubcv:r:22d5eee1-990d8202 CCM Unsorted Points CCM_CT_P1VFD_SPD_MUXOUT_POLL_TL,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL140,✓,CCM_CT_P1VFD_SPD_MUXOUT_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:07:16-07:00 Los_Angeles,"","",95751,2018-07-08T17:11:58-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:22.403-07:00 Los_Angeles,2018-11-28T16:32:38.967-08:00 Los_Angeles,"","","","","","","",CCM_CT_P1VFD_SPD_MUXOUT_POLL_TL,✓,AV108,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.202Z UTC
@p:ubcv:r:23592239-020d32fe CCM Unsorted Points SGAV_4_19_EX_FLW_ALM,"",✓,✓,"",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"",TL41,✓,SGAV_4_19_EX_FLW_ALM,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,✓,"","","",✓,"",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2018-11-06T10:06:42-08:00 Los_Angeles,"",cov,14,2018-10-16T10:00:37-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.97-07:00 Los_Angeles,2018-11-28T16:32:36.731-08:00 Los_Angeles,"","","","","","","",Exhaust Air Flow Alarm,"",BV212,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2441221b-87876233 .+_EXH?_FLO?W_ALA?R?M?(_BV)?(_TL)?,"","","","","",SGAV_4_19_EX_FLW_ALM_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.707Z UTC
@p:ubcv:r:235921da-236cecce CCM Rm 1045 FC-15 CCM_FCU_15_FANSTAT_TL,"",✓,"","",@p:ubcv:r:2304c375-208bab8a CCM CCM_FCU_15 (580618),"",TL3,✓,CCM_FCU_15_FANSTAT_TL,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304c375-208bab8a CCM CCM_FCU_15 (580618),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:23dcd603-d9ab9a33 CCM Rm 1045 FC-15,✓,"",✓,"","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","","","","","","",ok,"","","","",Number,2020-05-12T14:24:17.784-07:00 Los_Angeles,2018-11-28T16:32:45.978-08:00 Los_Angeles,"","","","","","","","Discharge Fan Run ","","","","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd603-8e6ad92a CCM Rm 1045,✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2412fe97-0fd8389c .+_FANSTAT(_TL)?,"","","","","","",Los_Angeles,A,"","","","","","",2020-04-14T16:50:01.118Z UTC
@p:ubcv:r:25cec466-256b6546 CCM Unsorted Points SGAV_5_07_CMD,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL104,"",SGAV_5_07_CMD,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",9290,2020-02-05T08:45:00-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:17:16.15-07:00 Los_Angeles,"","","","","","","","",SGAV_5_07_CMD,✓,BV28,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SGAV_5_07_CMD_TL,Los_Angeles,"","","","","","","",2020-04-08T18:49:21.346Z UTC
@p:ubcv:r:23592239-a9ea7d14 CCM Rm 1330 SAV-4-25 SAV_4_25_SUP_FLW_ALM,"",✓,✓,"",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"",TL4,✓,SAV_4_25_SUP_FLW_ALM,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"","",✓,"","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","OFF,ON","",@p:ubcv:r:23e39d35-c3bfa608 CCM Rm 1330 SAV-4-25,✓,"","","","",✓,"",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-03-02T09:38:03-08:00 Los_Angeles,"",cov,1,2020-03-02T09:38:03-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:05.067-07:00 Los_Angeles,2019-04-11T16:04:13.63-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Alarm,"",BV224,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23e39d35-9b7d9bf6 CCM Rm 1330,"","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2441220b-fc633f3c .+_SUP_FLO?W_ALA?R?M?(_BV)?(_TL)?,"","","","","",SAV_4_25_SUP_FLW_ALM_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.708Z UTC
@p:ubcv:r:22b585ff-00a70c1b CCM Unsorted Points CCM_HRC_P_W_20_CMD,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL2,✓,CCM_HRC_P_W_20_CMD,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2018-03-28T16:55:03-07:00 Los_Angeles,"",cov,1,2018-03-28T16:55:03-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.82-07:00 Los_Angeles,2018-11-28T16:32:29.005-08:00 Los_Angeles,"","","","","","","",CCM_HRC_P_W_20_CMD,✓,BV90,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_HRC_P_W_20_CMD_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.709Z UTC
@p:ubcv:r:22b585ff-46bf662f CCM Steam Boilers SB-01 CCM_B1_OPERMODE,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL23,✓,CCM_B1_OPERMODE,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e39d36-934b1d22 CCM Steam Boilers SB-01,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-08T13:53:42-07:00 Los_Angeles,"","",745,2018-12-13T09:00:50-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.994-07:00 Los_Angeles,2018-11-28T16:32:33.142-08:00 Los_Angeles,"","","","","","","",CCM_B1_OPERMODE,✓,BV2,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_B1_OPERMODE_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.894Z UTC
@p:ubcv:r:235921e7-30512787 CCM Rm 1112 FC-14 CCM_FCU_14_FAN_STATUS,"",✓,"","",@p:ubcv:r:2304b9f4-26bc7d2c CCM CCM_FCU_14_EF (C (580205),"",TL3,✓,CCM_FCU_14_FAN_STATUS,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304b9f4-26bc7d2c CCM CCM_FCU_14_EF (C (580205),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcd603-6e3ab017 CCM Rm 1112 FC-14,✓,"",✓,"","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-05T10:22:22-07:00 Los_Angeles,"","",355,2019-03-08T13:32:59-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:13:35.266-07:00 Los_Angeles,2018-11-28T16:32:51.767-08:00 Los_Angeles,"","","","","","","","Fan Run ","","","","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd603-02b3f451 CCM Rm 1112,✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-84b215bf .+_FAN_STATUS(_TL)?,"","","","","",CCM_FCU_14_FANSTAT_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.712Z UTC
@p:ubcv:r:23592172-e4c2427b CCM Heat Pump Plant STM HX-10 CCM_STM_HEX_10_VLV_1_FB,"","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"",TL46,✓,CCM_STM_HEX_10_VLV_1_FB,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:24159ba4-1b15073c CCM Heat Pump Plant STM HX-10,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:13:27-07:00 Los_Angeles,"","",635282,2018-10-13T04:09:54-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:14:22.498-07:00 Los_Angeles,2018-11-28T16:32:51.822-08:00 Los_Angeles,"","","","","","","",CCM_STM_HEX_10_VLV_1_FB,✓,AI13,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_STM_HEX_10_VLV_1_FB_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:22.412Z UTC
@p:ubcv:r:22d5eee1-5c24bfa6 CCM Heat Pump Plant HP-3 P20 CCM_HTGCLG_3_HW_P20_A_POLL_TL,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL111,✓,CCM_HTGCLG_3_HW_P20_A_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","",P20,@p:ubcv:r:23dccabf-e6673a35 CCM Heat Pump Plant HP-3,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:10:55-07:00 Los_Angeles,"","",97065,2018-07-07T01:08:34-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:19.903-07:00 Los_Angeles,2018-11-28T16:32:55.155-08:00 Los_Angeles,"","","","","","","",CCM_HTGCLG_3_HW_P20_A_POLL_TL,✓,AI104,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.209Z UTC
@p:ubcv:r:23592270-edc9ea63 CCM Steam Boilers CCM_STEAM_BLR2_PRESSURE,"","","","",@p:ubcv:r:2304b905-5ac45d29 CCM 057.0 CCM PUMP VFD INTERF (580800),"",TL26,✓,CCM_STEAM_BLR2_PRESSURE,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-5ac45d29 CCM 057.0 CCM PUMP VFD INTERF (580800),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcaa18-e3f0b449 CCM Steam Boilers,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",165236,2018-10-15T06:25:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:37.53-07:00 Los_Angeles,2018-11-28T16:32:44.531-08:00 Los_Angeles,"","","","","","","",CCM_STEAM_BLR2_PRESSURE,✓,AI12,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_B2_PRESSURE,Los_Angeles,psi,"","","","","","",2020-04-09T19:02:23.329Z UTC
@p:ubcv:r:23592172-44cb9ba0 CCM Steam Boilers SB-02 CCM_B2_HeartBeat_TL,"","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"",TL69,✓,CCM_B2_HeartBeat_TL,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e39d36-57c904a7 CCM Steam Boilers SB-02,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:13:57-07:00 Los_Angeles,"","",807651,2018-10-16T14:51:44-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:14:22.887-07:00 Los_Angeles,2018-11-28T16:32:34.363-08:00 Los_Angeles,"","","","","","","",CCM_B2_HeartBeat_TL,✓,BV290,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,"","","","","","","",2020-04-09T19:16:26.079Z UTC
@p:ubcv:r:23592139-6cdab67d CCM AHU-02 CCM_AHU_02_SAD,"",✓,"","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"","",✓,CCM_AHU_02_SAD,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"","","","","","","",✓,"","",$equipRef $bmsName,✓,✓,"","","","","","","","",@p:ubcv:r:23dbc780-0e4cde96 CCM AHU-02,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2019-12-23T06:28:32-08:00 Los_Angeles,"","",62128,2018-10-13T04:17:00-07:00 Los_Angeles,"","","","","",Number,"",2019-01-31T10:24:21.166-08:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"",AO5,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,%,"","","","","","",2020-03-19T20:04:56.831Z UTC
"@p:ubcv:r:25cec465-49b8b8d3 CCM Rm 1220 SAV-5-08 SAV_5_06_HTG_DMD ","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL131,"","SAV_5_06_HTG_DMD ","","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbb94e-ddca0c26 CCM Rm 1220 SAV-5-08,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",9290,2020-02-05T08:45:00-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:16.298-07:00 Los_Angeles,"","","","","","","","","SAV_5_06_HTG_DMD ",✓,AV27,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SAV_5_06_HTG_DMD_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:23.221Z UTC
@p:ubcv:r:2359218b-1d7e10a7 CCM Unsorted Points SAHU4A_B_SAH_LO_LIMIT_COV_TL,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL14,✓,SAHU4A_B_SAH_LO_LIMIT_COV_TL,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","","","",cov,"","",ok,"","","","",Number,2020-05-12T14:16:17.562-07:00 Los_Angeles,2018-11-28T16:32:52.98-08:00 Los_Angeles,"","","","","","","",SAHU4A_B_SAH_LO_LIMIT_COV_TL,✓,"","","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.528Z UTC
