id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,chiller,cmd,co2,condenser,connRef,cooling,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,max,mixed,mixing,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,proj_1830_3W2W,pump,quantityID,return,roomRef,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:238b47ce-a03b3b87 Buchanan Tower AHU-02 RF JCL-NAE16/FCB.16B-FEC014.RF-S,✓,"",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000629,✓,JCL-NAE16/FCB.16B-FEC014.RF-S,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:25d7526b-e2edc70c Buchanan Tower AHU-02 RF,"",✓,"","","",@p:ubcv:r:257da38f-66421eb2 Buchanan Tower Air Systems,"",✓,"","","",2020-05-12T12:01:42-07:00 Los_Angeles,"","","",815,2018-11-19T06:00:01-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:48.245-07:00 Los_Angeles,2018-12-07T09:45:31.668-08:00 Los_Angeles,"","","","","",Return Fan Run Status,"",BI3000271,"","","","",✓,"","","","","","","",✓,"",✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-f0fa345b .+(\.|-| )RF(\d?)-S,"","",JCL-NAE16/FCB.16B-FEC014.RF-S.Trend1,Los_Angeles,"","","","","",BUTO.AHU-2.RF-S,"",2020-04-08T18:55:30.009Z UTC
@p:ubcv:r:238b479a-e2a4e201 Buchanan Tower Rm 1001 FC-10-001 JCL-NAE15/FC-A.15A-FEC034.ZN-T,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006915,✓,JCL-NAE15/FC-A.15A-FEC034.ZN-T,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257dabc2-f49d35d0 Buchanan Tower Rm 1001 FC-10-001,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.326-07:00 Los_Angeles,2018-12-07T09:45:31.369-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3006913,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-5d4925a4 Buchanan Tower Rm 1001,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE15/FC-A.15A-FEC034.ZN-T.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1001 - FC-10-001.ZN-T,✓,2020-04-09T19:02:00.571Z UTC
@p:ubcv:r:238b47ce-8e10c6f8 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC005.FCU_P5-DP,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000462,✓,JCL-NAE16/FCB.16B-FEC005.FCU_P5-DP,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",51193,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:48.95-07:00 Los_Angeles,2018-11-25T13:45:23.902-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_P5-DP,✓,AI3000183,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_P5-DP.Trend1,Los_Angeles,_,"","","","",BUTO.FCU-SHW.P5-DP,"",2020-04-09T19:15:04.225Z UTC
@p:ubcv:r:238b47ce-23779af0 Buchanan Tower AHU-02 SF JCL-NAE16/FCB.16B-FEC014.SF-S,✓,"",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000632,✓,JCL-NAE16/FCB.16B-FEC014.SF-S,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:25d7526b-c0d0fb18 Buchanan Tower AHU-02 SF,"",✓,"","","",@p:ubcv:r:257da38f-66421eb2 Buchanan Tower Air Systems,"",✓,"","","",2020-05-12T12:01:32-07:00 Los_Angeles,"","","",805,2018-11-19T06:01:01-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:48.231-07:00 Los_Angeles,2018-12-07T09:45:31.679-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3000273,"","","","",✓,"","","","","","","","","",✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE16/FCB.16B-FEC014.SF-S.Trend1,Los_Angeles,"","","","","",BUTO.AHU-2.SF-S,"",2020-04-08T18:55:30.736Z UTC
@p:ubcv:r:238b479a-785f45be Buchanan Tower Rm 0999A SAV-09-004 JCL-NAE15/FC-A.15A-VMA026.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006645,✓,JCL-NAE15/FC-A.15A-VMA026.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da866-464a6df7 Buchanan Tower Rm 0999A SAV-09-004,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.366-07:00 Los_Angeles,2018-12-07T09:45:31.829-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3006644,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-e140a6b8 Buchanan Tower Rm 0999A,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-VMA026.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-0999A - SAV-09-004.ZN-SP,✓,2020-04-09T19:02:00.576Z UTC
@p:ubcv:r:257d5cc3-61c0e530 Buchanan Tower Rm 0397F FC-03-012 JCL-NAE18/FCB-01.FEC-015.ZN-SP,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002338,"",JCL-NAE18/FCB-01.FEC-015.ZN-SP,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da867-a1d48d6b Buchanan Tower Rm 0397F FC-03-012,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.393-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3002337,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-5caccdf9 Buchanan Tower Rm 0397F,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE18/FCB-01.FEC-015.ZN-SP.Trend1,Los_Angeles,°C,"","","","",RM-0397F - FC-03-012.ZN-SP,✓,2020-04-09T19:02:00.945Z UTC
@p:ubcv:r:238b47ce-3e070e63 Buchanan Tower South RHC JCL-NAE16/FCB.16B-FEC013.S_P7-S,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3001319,✓,JCL-NAE16/FCB.16B-FEC013.S_P7-S,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:25868cf2-126da583 Buchanan Tower South RHC,"","","","","",@p:ubcv:r:257da38f-66421eb2 Buchanan Tower Air Systems,"",✓,"","","",2020-04-24T09:34:24-07:00 Los_Angeles,"","","",878,2018-12-12T18:35:03-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:48.021-07:00 Los_Angeles,2018-12-07T09:45:30.724-08:00 Los_Angeles,"","","","","",Pump Run Status,"",BI3001317,"","","","",✓,"","","","","",✓,"","","",✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE16/FCB.16B-FEC013.S_P7-S.Trend1,Los_Angeles,"","","","","",BUTO.South-RH.S_P7-S,"",2020-04-08T18:52:38.438Z UTC
@p:ubcv:r:257d5cc3-c13b1edc Buchanan Tower Rm 0307 FC-03-007 JCL-NAE18/FCB-01.FEC-010.SF-O,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002218,"",JCL-NAE18/FCB-01.FEC-010.SF-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257da867-10cc2ad4 Buchanan Tower Rm 0307 FC-03-007,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.397-07:00 Los_Angeles,"","","","","","",Discharge Fan Speed Cmd,"",AO3002217,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-8a37119c Buchanan Tower Rm 0307,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","",✓,"","",@p:ubcv:r:23e65d3d-c41cb6bb .+(\.|-| )SF(\d+)?-O(.Trend\d)?,"","",JCL-NAE18/FCB-01.FEC-010.SF-O.Trend1,Los_Angeles,%,"","","","",RM-0307 - FC-03-007.SF-O,"",2020-04-09T19:02:00.947Z UTC
@p:ubcv:r:21dffdad-5f2a8d22 Buchanan Tower HW Main Meter Entering Water Temp,"","",@p:ubcv:r:25c381a3-af1f32cc BUTO DES Meter,AI9,"",✓,"","","","","","",@p:ubcv:r:25c381a3-af1f32cc BUTO DES Meter,"","",✓,"",ok,83.54999542236328°C,"","","","",$equipRef $navName,"","","","","","",✓,"","",@p:ubcv:r:209d1c46-5c97d656 Buchanan Tower HW Main Meter,"","","","","",@p:ubcv:r:21697fca-cec2dd99 Buchanan Tower Utilities,"",✓,0.5°C,10min,"",2020-05-12T14:20:00-07:00 Los_Angeles,"","",consumption,126614,2018-01-03T12:50:00-08:00 Los_Angeles,ok,"",✓,"","",Number,"","","","","","","",Entering Water Temp,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","",✓,"","",Los_Angeles,°C,✓,"","",✓,"","",2020-04-28T00:03:35.942Z UTC
@p:ubcv:r:238b479b-57aa835d Buchanan Tower Rm 1020 FC-10-020 JCL-NAE15/FC-A.15A-FEC056.SF-O,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007695,✓,JCL-NAE15/FC-A.15A-FEC056.SF-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257dabab-89d13805 Buchanan Tower Rm 1020 FC-10-020,"",✓,"","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.418-07:00 Los_Angeles,2018-12-07T09:45:32.142-08:00 Los_Angeles,"","","","","",Discharge Fan Speed Cmd,"",AO3007694,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabab-c7b7bf3f Buchanan Tower Rm 1020,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","",✓,"","",@p:ubcv:r:23e65d3d-c41cb6bb .+(\.|-| )SF(\d+)?-O(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC056.SF-O.Trend1,Los_Angeles,%,"","","","",BUTO.RM-1020 - FC-10-020.SF-O,"",2020-04-09T19:02:00.582Z UTC
@p:ubcv:r:238b47ce-71410774 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC005.FCU_HWS-O,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000448,✓,JCL-NAE16/FCB.16B-FEC005.FCU_HWS-O,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",51260,2018-11-22T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:48.997-07:00 Los_Angeles,2018-11-25T13:45:23.897-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_HWS-O,✓,AO3000172,"","","","",✓,"","","","",✓,"","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_HWS-O.Trend1,Los_Angeles,_,"","","","",BUTO.FCU-SHW.HWS-O,"",2020-04-09T19:15:04.228Z UTC
@p:ubcv:r:238b47ce-37f91442 Buchanan Tower Unsorted Points JCL-NAE16/FCB.Local Application.CHWS-S (CV6-S),"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000857,✓,JCL-NAE16/FCB.Local Application.CHWS-S (CV6-S),"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Close,Open","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T09:24:46-07:00 Los_Angeles,"","","",243,2018-12-09T09:28:50-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:48.351-07:00 Los_Angeles,2018-11-25T13:45:23.685-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.Local Application.CHWS-S (CV6-S),✓,BI3000384,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.Local Application.CHWS-S (CV6-S).Trend1,Los_Angeles,"","","","","",BUTO.IND.CHWS-S (CV6-S),"",2020-04-08T18:55:22.201Z UTC
@p:ubcv:r:238b4799-e0895df4 Buchanan Tower Rm 0901 FC-09-001 JCL-NAE15/FC-A.15A-FEC004.SF-S,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3005882,✓,JCL-NAE15/FC-A.15A-FEC004.SF-S,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257da5e1-816f987e Buchanan Tower Rm 0901 FC-09-001,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-07T04:06:17-07:00 Los_Angeles,"","","",3045,2018-11-20T12:16:34-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.357-07:00 Los_Angeles,2018-12-07T09:45:31.124-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3005881,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da5e1-ca53462e Buchanan Tower Rm 0901,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC004.SF-S.Trend1,Los_Angeles,"","","","","",BUTO.RM-0901 - FC-09-001.SF-S,"",2020-04-08T18:55:06.101Z UTC
@p:ubcv:r:257d5cc3-b42a13cd Buchanan Tower Rm 0322 FC-03-025 JCL-NAE18/FCB-01.FEC-024.HTG-O,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002651,"",JCL-NAE18/FCB-01.FEC-024.HTG-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da868-f691167c Buchanan Tower Rm 0322 FC-03-025,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:54.412-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"",AO3002650,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-827aee93 Buchanan Tower Rm 0322,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE18/FCB-01.FEC-024.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"RM-0322 - FC-09-023, FC-03-024, FC-03-025.HTG-O","",2020-04-09T19:02:00.954Z UTC
@p:ubcv:r:238b479a-be9c06ba Buchanan Tower Rm 1097E FC-10-014 JCL-NAE15/FC-A.15A-FEC047.HTG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007355,✓,JCL-NAE15/FC-A.15A-FEC047.HTG-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257dabc2-4ec5b58b Buchanan Tower Rm 1097E FC-10-014,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50668,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:58.449-07:00 Los_Angeles,2018-12-07T09:45:30.673-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3007354,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-4521ea35 Buchanan Tower Rm 1097E,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC047.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-1097E - FC-10-014.HTG-O,"",2020-04-09T19:02:00.586Z UTC
@p:ubcv:r:238b47ce-91efe36d Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC005.FCU_SHWR-T,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000475,✓,JCL-NAE16/FCB.16B-FEC005.FCU_SHWR-T,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",51260,2018-11-22T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:49.025-07:00 Los_Angeles,2018-11-25T13:45:23.892-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_SHWR-T,✓,AI3000193,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_SHWR-T.Trend1,Los_Angeles,_,"","","","",BUTO.FCU-SHW.SHWR-T,"",2020-04-09T19:15:04.231Z UTC
@p:ubcv:r:238b4742-3a7f5951 Buchanan Tower Unsorted Points JCL-NAE17/BACnet IP1.BUTO_EMTR.AI-4,"","",@p:ubcv:r:21e1729b-a61b1e8f BUTO (NAE-17),"",TL3000319,✓,JCL-NAE17/BACnet IP1.BUTO_EMTR.AI-4,"","","","","",@p:ubcv:r:21e1729b-a61b1e8f BUTO (NAE-17),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:13:06-07:00 Los_Angeles,"","","",161675,2018-11-21T12:58:37-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:13:34.254-07:00 Los_Angeles,2018-11-25T13:45:23.849-08:00 Los_Angeles,"","","","","",JCL-NAE17/BACnet IP1.BUTO_EMTR.AI-4,✓,AI3000145,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE17/BACnet IP1.BUTO_EMTR.AI-4.Trend2,Los_Angeles,W,"","","","",Actual Flow,"",2020-04-09T19:02:00.834Z UTC
@p:ubcv:r:238b479a-6a2800a4 Buchanan Tower Rm 1007 FC-10-007 JCL-NAE15/FC-A.15A-FEC040.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007109,✓,JCL-NAE15/FC-A.15A-FEC040.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257dabc2-2cb25137 Buchanan Tower Rm 1007 FC-10-007,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.503-07:00 Los_Angeles,2018-12-07T09:45:30.906-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3007108,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-3522c36b Buchanan Tower Rm 1007,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-FEC040.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1007 - FC-10-007.ZN-SP,✓,2020-04-09T19:02:00.593Z UTC
@p:ubcv:r:257d5cc3-b646c28e Buchanan Tower Rm 0397F FC-03-012 JCL-NAE18/FCB-01.FEC-015.SF-S,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002348,"",JCL-NAE18/FCB-01.FEC-015.SF-S,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257da867-a1d48d6b Buchanan Tower Rm 0397F FC-03-012,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-04-23T09:29:22-07:00 Los_Angeles,"","","",369,2019-12-01T22:31:30-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.016-07:00 Los_Angeles,"","","","","","",Discharge Fan Run Status,"",BI3002347,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-5caccdf9 Buchanan Tower Rm 0397F,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE18/FCB-01.FEC-015.SF-S.Trend1,Los_Angeles,"","","","","",RM-0397F - FC-03-012.SF-S,"",2020-04-08T18:52:44.162Z UTC
@p:ubcv:r:238b479a-ea035a94 Buchanan Tower Rm 0999A SAV-09-004 JCL-NAE15/FC-A.15A-VMA026.Flow.DA-VP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006660,✓,JCL-NAE15/FC-A.15A-VMA026.Flow.DA-VP,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257da866-464a6df7 Buchanan Tower Rm 0999A SAV-09-004,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.519-07:00 Los_Angeles,2018-12-07T09:45:31.82-08:00 Los_Angeles,"","","","","",Discharge Air Pressure Cmd,"",AI3006659,"","","","",✓,"","","",✓,"","","","",@p:ubcv:r:257da7f4-e140a6b8 Buchanan Tower Rm 0999A,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-7f24f88c .+(\.|-| )(SA|DA)-VP,"","",JCL-NAE15/FC-A.15A-VMA026.Flow.DA-VP.Trend1,Los_Angeles,Pa,"","","","",BUTO.RM-0999A - SAV-09-004.DA-VP,"",2020-04-09T19:02:00.595Z UTC
